,WS,WD,TI
2015-05-01 00:00:00,6.069785138627566,34.69043206718851,1.4691522024856727
2015-05-01 00:01:00,6.2645433580160494,24.011056623009424,2.6103092089006443
2015-05-01 00:02:00,6.713617196381462,16.28609956804261,4.439926134236722
2015-05-01 00:03:00,7.279963901965439,9.37937719441385,7.214356118573581
2015-05-01 00:04:00,9.039543280216902,26.96113050936546,9.977612643972723
2015-05-01 00:05:00,9.886129072189599,36.33762396947105,14.979328936063837
2015-05-01 00:06:00,8.770746748216322,14.399184404038214,16.669516310398297
2015-05-01 00:07:00,8.188722063391424,15.845425998466533,14.82032206588778
2015-05-01 00:08:00,9.183561501189075,16.82027190542034,10.620449558087243
2015-05-01 00:09:00,8.633515814365783,19.541163048801195,9.915970257701792
2015-05-01 00:10:00,8.642388435816764,20.764293458251277,8.588398119116901
2015-05-01 00:11:00,7.695971444698239,25.73935759115222,8.942726328487236
2015-05-01 00:12:00,7.3808565992649395,26.310967665196234,10.918032996282333
2015-05-01 00:13:00,7.101023894086138,15.782706919324449,12.015776874815472
2015-05-01 00:14:00,6.6993929421006735,22.669358549138682,12.668461409161486
2015-05-01 00:15:00,6.39472149162833,26.51266571150672,12.716991585482045
2015-05-01 00:16:00,5.994087779809103,24.214225713222746,11.924283489371517
2015-05-01 00:17:00,6.172897126248272,16.95193601163132,11.294099555706616
2015-05-01 00:18:00,5.72513531899977,15.71363932451661,10.652076684861402
2015-05-01 00:19:00,6.164029672056954,8.504506752344964,8.920338301931409
2015-05-01 00:20:00,5.846536296312303,11.533350295472967,8.262651104162698
2015-05-01 00:21:00,5.845224664609624,56.0964045523292,8.192543556749257
2015-05-01 00:22:00,5.662323642595342,38.08844764358904,8.670813531881356
2015-05-01 00:23:00,6.437483266409065,12.947743223153754,7.624972826102806
2015-05-01 00:24:00,6.640074878968543,17.47904879365569,9.440270125523293
2015-05-01 00:25:00,6.563569008300113,93.49028105370141,9.884517845295095
2015-05-01 00:26:00,7.49843541197844,14.44657973312633,10.785724328819187
2015-05-01 00:27:00,6.510452975434896,40.00315713910499,11.707060997404838
2015-05-01 00:28:00,6.8931594269381105,26.03332706266683,10.516934220366473
2015-05-01 00:29:00,7.0396397491936815,14.276709680767164,10.833961271833848
2015-05-01 00:30:00,7.55775955469054,196.09381665024713,10.712373654046763
2015-05-01 00:31:00,13.173991862674173,116.01228234918221,15.04960533480424
2015-05-01 00:32:00,12.182815594240239,17.38855524691736,24.05059637696103
2015-05-01 00:33:00,15.04960646556783,24.934223487858592,21.615486233233494
2015-05-01 00:34:00,15.0605019243375,26.192232889394965,22.522276105895187
2015-05-01 00:35:00,15.45228010457116,25.10693597907233,16.153415269746436
2015-05-01 00:36:00,12.740439423890608,22.832366701159202,14.128834945457388
2015-05-01 00:37:00,12.988451656406863,25.066978558361864,13.849914733783342
2015-05-01 00:38:00,13.261168169316807,25.783949735298382,12.743922244706953
2015-05-01 00:39:00,14.379908749980528,24.9088916653549,10.768544261035723
2015-05-01 00:40:00,14.14581198484273,24.460528580601373,10.076826514524885
2015-05-01 00:41:00,13.55538732183766,23.903656003042116,9.70385372094301
2015-05-01 00:42:00,12.852607637262107,21.563256029063822,9.906591131502314
2015-05-01 00:43:00,12.62998583482264,20.45948040092618,10.596460453479141
2015-05-01 00:44:00,13.958756100753426,19.204925501897566,9.633480704659922
2015-05-01 00:45:00,15.358358962886557,18.59785113430567,9.515759199495722
2015-05-01 00:46:00,13.582847882460241,13.056662751301577,11.518639178451453
2015-05-01 00:47:00,13.129496460862667,109.10730607643842,11.279854500833151
2015-05-01 00:48:00,14.025846652373486,296.4142369297173,9.875489015321772
2015-05-01 00:49:00,14.605899400466617,353.9216126393141,9.005927281907326
2015-05-01 00:50:00,14.521445699849693,354.38260490056393,7.851204837451136
2015-05-01 00:51:00,14.463716378155683,355.0113614960218,6.7127017854443345
2015-05-01 00:52:00,13.814888072760198,352.81614066648814,6.502423396387326
2015-05-01 00:53:00,13.159730226294597,342.96275553199354,5.571925226728559
2015-05-01 00:54:00,11.241055870843082,350.0587712783651,10.459594223431308
2015-05-01 00:55:00,12.121163931296048,349.4274226238242,11.70140009390864
2015-05-01 00:56:00,13.406523333045797,347.9740917626188,9.903696656517646
2015-05-01 00:57:00,14.875850651050794,345.0498265433301,9.050134485589643
2015-05-01 00:58:00,14.614525305483864,344.35890574284014,10.390030602859555
2015-05-01 00:59:00,13.651618748539791,345.97049461576563,10.378181481177611
2015-05-01 01:00:00,13.308102969529362,344.7726034035093,7.991337383144363
2015-05-01 01:01:00,14.792904729057677,345.79610022949663,6.211685039703662
2015-05-01 01:02:00,14.202299593867213,346.73009141749856,6.736729398594289
2015-05-01 01:03:00,13.116363786558919,345.05581385007287,8.703201765494596
2015-05-01 01:04:00,14.447214001722552,351.95600690608677,8.319709748425343
2015-05-01 01:05:00,12.365215664554482,347.7658381912646,10.270570014225212
2015-05-01 01:06:00,12.102020362082342,250.75042877230013,11.852906805519776
2015-05-01 01:07:00,12.05233653261472,196.31261773144723,11.515127216448299
2015-05-01 01:08:00,12.186842200404389,334.5420150595809,11.251471229563716
2015-05-01 01:09:00,11.014195096864832,349.1090047952717,11.404188056070163
2015-05-01 01:10:00,9.35606677861206,303.8441489612781,13.961325040564075
2015-05-01 01:11:00,9.701818784039046,243.81517571759602,17.343486893568002
2015-05-01 01:12:00,12.19971966182316,111.50502033529109,14.20640804462511
2015-05-01 01:13:00,12.349445887507498,8.359426528344432,14.52843754703302
2015-05-01 01:14:00,11.942938307162457,39.72605140099599,15.315445534849339
